Time (s)	Acceleration x (m/s^2)	Acceleration y (m/s^2)	Acceleration z (m/s^2)	Absolute acceleration (m/s^2)
0.89203825	-0.236807556	4.449197845	9.013506317	10.05458778
0.90202825	-0.208815765	4.445755005	9.112151184	10.14098816
0.91201925	-0.113913116	4.400399323	9.188342743	10.18833317
0.92201025	0.035775604	4.330943756	9.204658813	10.17271338
0.93200125	0.276325378	4.307592316	9.224268036	10.18424411
0.94199225	0.418978729	4.314927063	9.390572205	10.3429679
0.95198325	0.547711029	4.348457336	9.718091125	10.66069246
0.96197425	0.619711304	4.317022705	10.02240829	10.93020563
0.97196425	0.567619629	4.243675232	10.22164398	11.08210166
0.98195525	0.277971954	4.08365799	10.1206041	10.91696653
0.99194625	-0.184266815	3.854035492	9.888137512	10.61427375
1.00193725	-0.551752625	3.655697937	9.622889099	10.30866398
1.01192825	-0.695902863	3.46813797	9.362879791	10.00878513
1.02191925	-0.612376556	3.364553375	9.288783875	9.898319571
1.03191025	-0.268691254	3.369642792	9.458530884	10.04442602
1.04190025	0.155526581	3.4212854	9.852212219	10.4305066
1.05189125	0.408949585	3.450025635	10.20428009	10.77948277
1.06188225	0.450862427	3.418890381	10.51144135	11.06266186
1.07187325	0.34518219	3.398383026	10.76501404	11.29396676
1.08186425	0.171842651	3.322490845	10.8968898	11.39344911
1.09185525	-0.000598755	3.133284302	10.87668182	11.31899635
1.10184625	-0.155376892	2.923121338	10.68238586	11.07619737
1.11183625	-0.312849426	2.754571838	10.37253021	10.73661603
1.12182725	-0.415086823	2.656226349	10.01911514	10.37354827
1.13181825	-0.467926941	2.603086853	9.717492371	10.07098182
1.14180925	-0.418679352	2.622995453	9.547745361	9.910340006
1.15180025	-0.383203125	2.638263702	9.501641235	9.868559478
1.16179125	-0.442779236	2.605481873	9.56540863	9.923791186
1.17178125	-0.501606903	2.505040741	9.647887115	9.980409029
1.18177225	-0.52301239	2.351759491	9.559870148	9.858774361
1.19176325	-0.605041809	2.251917114	9.328301697	9.615322086
1.20175425	-0.67045578	2.224524078	8.995393982	9.290593696
1.21174525	-0.682281189	2.233206024	8.695118408	9.003210588
1.22173625	-0.688418427	2.243983612	8.477620697	8.796558137
1.23172725	-0.641266479	2.305505676	8.333470459	8.670254265
1.24171725	-0.578397217	2.381248169	8.250692596	8.606905048
1.25170825	-0.638272705	2.464774475	8.214916992	8.600428271
1.26169925	-0.770447845	2.530487823	8.285869446	8.697849791
1.27169025	-0.84244812	2.54845047	8.470735016	8.885812869
1.28168125	-0.841849365	2.531835022	8.721763	9.120748257
1.29167225	-0.762963409	2.465073853	9.016500092	9.378484748
1.30166325	-0.674946442	2.386487274	9.306746521	9.63153181
1.31165325	-0.58737854	2.33544342	9.468709717	9.770147042
1.32164425	-0.49142807	2.312541046	9.490264893	9.780310597
1.33163525	-0.404608612	2.357597351	9.416618042	9.715691882
1.34162625	-0.348325653	2.426154785	9.350455627	9.666363238
1.35161725	-0.320034485	2.488574982	9.283544769	9.616633038
1.36160825	-0.3463797	2.519410858	9.180858307	9.526571745
1.37159825	-0.401764526	2.560425568	9.182205505	9.540969121
1.38158925	-0.455502777	2.589914246	9.287885742	9.65297675
1.39158025	-0.533340912	2.564467163	9.413025513	9.770670072
1.40157125	-0.648601227	2.523153076	9.531878357	9.881482177
1.41156225	-0.705033875	2.506986694	9.594298553	9.94145964
1.42155325	-0.695902863	2.463726654	9.576335907	9.912640376
1.43154425	-0.692759399	2.451152802	9.473499756	9.809957353
1.44153425	-0.586630096	2.571053467	9.323361969	9.689144916
1.45152525	-0.408799896	2.765948181	9.224567413	9.638995314
1.46151625	-0.139360199	3.027604065	9.150321808	9.639201047
1.47150725	0.022453308	3.264411621	9.018595734	9.591243735
1.48149825	0.060025177	3.439697113	8.885372772	9.528114638
1.49148925	-0.001496887	3.529809723	8.76741806	9.451305643
1.50148025	-0.136067047	3.502266998	8.698561249	9.378131806
1.51147025	-0.288599854	3.418890381	8.701105957	9.353146326
1.52146125	-0.451311493	3.29494812	8.721014557	9.333619881
1.53145225	-0.628542938	3.205583954	8.804540863	9.390994331
1.54144325	-0.803379364	3.147953796	8.89734787	9.471949674
1.55143425	-0.956660614	3.12295578	9.025481415	9.598300219
1.56142525	-1.070124664	3.079396362	9.148375854	9.711880844
1.57141625	-1.082249451	3.072510681	9.223220215	9.781583557
1.58140625	-1.073268127	3.07730072	9.245074768	9.802708384
1.59139725	-1.01099762	3.144960022	9.22965683	9.803032945
1.60138825	-0.915795593	3.240611115	9.198521576	9.795562319
1.61137925	-0.841999054	3.351979523	9.192683716	9.820904389
1.621369875	-0.812210999	3.441643066	9.226363678	9.880808693
1.631360875	-0.790206757	3.452570343	9.313781891	9.964497067
1.641351875	-0.777632904	3.472478943	9.403595123	10.05437339
1.651341875	-0.808468781	3.469784546	9.480834503	10.12814146
1.661332875	-0.829125824	3.473826141	9.49759964	10.14688704
1.671323875	-0.862057343	3.529660034	9.433383179	10.10892482
1.681314875	-0.838256836	3.629053345	9.334289246	10.04995813
1.691305875	-0.838556213	3.738026733	9.196126556	9.962166633
1.701296875	-0.855021973	3.777544556	9.104067993	9.893682806
1.711287875	-0.797092438	3.780837708	9.057365112	9.847129171
1.721277875	-0.699794769	3.783232727	9.04359375	9.827977946
1.731268875	-0.60489212	3.831282806	9.032516785	9.830105894
1.741259875	-0.550106049	3.896547089	9.063053284	9.880517734
1.751250875	-0.618813171	3.926335144	9.166637878	9.991310595
1.761241875	-0.692460022	3.910019073	9.369615784	10.1763181
1.771232875	-0.715512085	3.792663116	9.586365051	10.3341495
1.781222875	-0.738863525	3.646566925	9.743538208	10.42976061
1.791213875	-0.759819946	3.530857544	9.851014709	10.49222437
1.801204875	-0.738414459	3.428171082	9.858798523	10.46391519
1.811195875	-0.654289398	3.344195709	9.783804474	10.36023984
1.821186875	-0.540376282	3.298690338	9.673034821	10.23430345
1.831177875	-0.408799896	3.265010376	9.556876373	10.10748713
1.841168875	-0.45864624	3.38266571	9.35135376	9.954928469
1.851158875	-0.588725739	3.556304626	8.942703552	9.641879869
1.861149875	-0.689316559	3.530857544	8.551417236	9.277329846
1.871140875	-0.518222351	3.439697113	8.281378784	8.982277284
1.881131875	0.006286926	3.178789673	8.278983765	8.86827579
1.891122875	0.451760559	2.975961456	8.984017639	9.474861853
1.901113875	0.722697144	2.981200562	10.20637573	10.65738962
1.911104875	0.932411041	2.894381104	11.43277542	11.83026568
1.921094875	1.119372253	2.699037323	12.48688339	12.82419797
1.931085875	1.339264984	2.47944397	13.19161789	13.48925705
1.941076875	1.429527283	2.225721588	13.54203918	13.79797848
1.951067875	1.310075684	1.887874146	13.49728226	13.69149354
1.961058875	1.030756531	1.551822968	12.94103897	13.07444466
1.971049875	0.717607727	1.306333466	11.97165482	12.06407837
1.981040875	0.364791412	1.303639069	10.84719315	10.93133783
1.991030875	0.061522064	1.467997284	9.80880249	9.918236097
2.001021875	-0.056582336	1.701811066	8.882828064	9.044556201
2.011012875	0.025447083	1.924098816	8.06897049	8.295244937
2.021003875	0.182620239	2.110461273	7.287595367	7.589232054
2.030994875	0.326920166	2.271226959	6.621929626	7.008230923
2.040985875	0.476309509	2.505938873	6.150859222	6.658803914
2.050976875	0.617166595	2.737507324	5.964796143	6.591937043
2.060966875	0.849782867	3.000660095	6.030210114	6.788926715
2.070957875	1.098415833	3.215014343	6.358028412	7.208839009
2.080948875	1.288670197	3.394790497	6.90005127	7.797177753
2.090939875	1.51754425	3.486399994	7.601043549	8.499046329
2.100930875	1.685494995	3.429817657	8.344248047	9.177745802
2.110921875	1.719923401	3.265160065	9.013506317	9.739748605
2.120912875	1.600322113	3.058889008	9.580227814	10.18325085
2.130902875	1.400487671	2.851869507	9.967173157	10.46131283
2.140893875	1.205592957	2.644850006	10.14350647	10.55174912
2.150884875	0.984203339	2.45130249	10.15129028	10.48933909
2.160875875	0.782422943	2.3237677	9.978848877	10.2756755
2.170866875	0.556542664	2.298619995	9.660011902	9.945311637
2.180857875	0.423469391	2.39516922	9.254505157	9.568804922
2.190848875	0.366138611	2.540966034	8.897048492	9.260023636
2.200838875	0.41418869	2.697540436	8.698561249	9.116646558
2.210829875	0.582887878	2.864593048	8.716972961	9.194088819
2.220820875	0.782273254	2.973716125	8.956923981	9.470027784
2.230811875	0.886456604	2.989134064	9.282646637	9.792254916
2.240802875	0.928519135	2.967728577	9.58067688	10.07268237
2.250793875	0.873733063	2.92282196	9.789792023	10.25408823
2.260784875	0.699944458	2.851121063	9.934391327	10.3590996
2.270774875	0.534538422	2.717898102	9.967622223	10.3453465
2.280765875	0.377065887	2.629731445	9.862540741	10.21407735
2.290756875	0.264499969	2.607427826	9.628726959	9.979029159
2.300747875	0.218994598	2.64440094	9.31033905	9.681075777
2.310738875	0.234711914	2.777025146	8.997190247	9.418937874
2.320729875	0.260009308	2.960693207	8.754245453	9.245005276
2.330720875	0.27378067	3.157384186	8.525970154	9.095944031
2.340710875	0.347427521	3.3323703	8.410410461	9.053198431
2.350701875	0.4153862	3.513493652	8.37553299	9.092124955
2.360692875	0.437989197	3.668720856	8.405021667	9.181270962
2.370683875	0.396974487	3.756737823	8.469687195	9.273956491
2.380674875	0.338446198	3.797902222	8.532406769	9.345617817
2.390665875	0.282163239	3.807781677	8.572373657	9.384263824
2.400656875	0.221389618	3.796704712	8.579858093	9.384985079
2.410646875	0.116308136	3.774251404	8.55920105	9.355128211
2.420637875	0.011526031	3.782484283	8.514144745	9.316543401
2.430628875	-0.052241364	3.791914673	8.478518829	9.287982966
2.440619875	-0.124840393	3.823349304	8.446784821	9.272634945
2.450610875	-0.199535065	3.87768631	8.422086182	9.274039088
2.460601875	-0.310155029	3.902834015	8.457712097	9.319935805
2.470592875	-0.453706512	3.879632263	8.520731049	9.373380057
2.480582875	-0.596808929	3.786974945	8.627908173	9.441300735
2.490573875	-0.716709595	3.688180389	8.840765533	9.606012828
2.500564875	-0.827030182	3.562591553	9.123527527	9.829282376
2.510555875	-0.890348511	3.461701355	9.446406097	10.10003391
2.520546875	-0.897683258	3.385210419	9.766889648	10.37581892
2.530537875	-0.821491699	3.32069458	10.12569351	10.68791515
2.540528875	-0.703836365	3.293151855	10.45291306	10.98196823
2.550518875	-0.560135193	3.240910492	10.68522995	11.17995489
2.560509875	-0.396974487	3.193608856	10.8450975	11.31250928
2.570500875	-0.224084015	3.198548584	10.99927689	11.45709469
2.580491875	0.012274475	3.272195435	11.12935638	11.60043047
2.590482875	0.154029694	3.404819641	11.16378479	11.67247244
2.600473875	0.354612579	3.519930267	10.76142151	11.32801183
2.610464875	0.5242099	3.500620422	9.897268524	10.51118754
2.62045575	0.370030518	3.39553894	8.965007172	9.59364169
2.63044675	-0.054187317	3.382066956	8.270900574	8.935832891
2.64043775	-0.458945618	3.426374817	7.98110321	8.697625189
2.65042875	-0.593815155	3.418141937	8.001161499	8.720945825
2.66041975	-0.382903748	3.239712982	8.315507813	8.932526276
2.67041075	-0.16615448	3.009042664	9.018745422	9.508928123
2.68040175	-0.124690704	2.838696899	10.08976822	10.48223118
2.69039175	-0.301024017	2.711311798	11.21527771	11.54228232
2.70038275	-0.6821315	2.51102829	12.14604218	12.42163061
2.71037375	-1.030307465	2.174827423	12.67399429	12.90044725
2.72036475	-1.242117004	1.760189667	12.65184036	12.83394666
2.73035575	-1.429676971	1.390907593	12.18361404	12.34581109
2.74034675	-1.599573669	1.12446167	11.34386032	11.51113448
2.75033775	-1.758243713	1.0683284	10.40501266	10.60646195
2.76032775	-1.782343597	1.237177277	9.65552124	9.896284491
2.77031875	-1.647923126	1.536854095	9.329948273	9.598203265
2.78030975	-1.306034088	1.841021576	9.386680298	9.654266026
2.79030075	-0.916993103	1.991309052	9.596543884	9.843771768
2.80029175	-0.700393524	1.978884888	9.756710815	9.979977075
2.81028275	-0.622106323	1.835932159	9.729467468	9.92069556
2.82027375	-0.695304108	1.556463318	9.509125671	9.660719274
2.83026375	-0.855171661	1.305884399	9.215735779	9.347001582
2.84025475	-1.046623535	1.157093811	8.904233551	9.039892811
2.85024575	-1.236428833	1.040336609	8.62701004	8.777035875
2.86023675	-1.433419189	1.001118164	8.354726257	8.535711979
2.87022775	-1.619482269	1.049467621	8.07825119	8.305555213
2.88021875	-1.696272583	1.18179245	7.846083984	8.113877492
2.89020975	-1.707798615	1.379830627	7.653434601	7.962133499
2.90019975	-1.685345306	1.576671295	7.593708801	7.936667722
2.91019075	-1.666783905	1.726509705	7.641459503	8.009426177
2.92018175	-1.611548767	1.806144104	7.794441376	8.161651935
2.93017275	-1.584604797	1.753303986	8.046517181	8.386386944
2.94016375	-1.564845886	1.61708725	8.304879913	8.604344495
2.95015475	-1.553768921	1.454525299	8.575217743	8.835394787
2.96014575	-1.493294678	1.339414673	8.923842773	9.146525597
2.97013575	-1.382824402	1.255588989	9.291478271	9.477355934
2.98012675	-1.274000702	1.21801712	9.793384552	9.950729846
2.99011775	-1.259480896	1.329684906	10.50126251	10.65977807
3.00010875	-1.32803833	1.494941254	11.28338608	11.45920314
3.01009975	-1.404678955	1.567989349	11.89606201	12.08089421
3.02009075	-1.401535492	1.561403046	12.24139389	12.41990361
3.03008175	-1.367256775	1.526226196	12.22747284	12.39797764
3.04007175	-1.410666504	1.467847595	11.84022812	12.01397347
3.05006275	-1.474134521	1.405577087	11.1862381	11.37016457
3.06005375	-1.497935028	1.388362885	10.50335815	10.70008847
3.07004475	-1.46500351	1.476379852	9.984986115	10.19930784
3.08003575	-1.407073975	1.648521881	9.650581512	9.890965832
3.09002675	-1.32803833	1.869911499	9.48472641	9.758088434
3.10001775	-1.165775757	2.070195007	9.40284668	9.698364097
3.11000775	-1.004261627	2.257904663	9.360335083	9.681040634
3.11999875	-0.837508392	2.416574707	9.289682007	9.635322797
